"isrc";"artist_id";"streams";"weeks_in_charts";"n_regions";"danceability";"energy";"speechiness";"instrumentalness";"liveness";"valence";"tempo";"song_length";"song_age";"explicit";"n_playlists";"sp_popularity";"youtube_views";"tiktok_counts";"ins_followers_artist";"monthly_listeners_artist";"playlist_total_reach_artist";"sp_fans_artist";"shazam_counts";"artistName";"trackName";"release_date";"genre";"label";"top10";"expert_rating"
"PLF241705319";215589;59133;6;1;59,6;58,7;27,6;0;23,8;58,7;92,052;3,00488333333333;133,285714285714;0;6;34;0;0;218357;527664;750664;30383;0;"Sarius";"Wszystko co złe";"2018-08-30";"Pop";"Independent";0;"good"
"TWA471802003";162327;77896;19;1;81,7;81,7;15,4;0;41,8;86;125,024;4,06983333333333;151,428571428571;0;6;25;0;0;17931;87523;277394;391;13280;"Matzka feat. Xiao-s";"早晨瑜伽";"2018-04-26";"Pop";"Sony Music";0;"fair"
"JPC841800608";568242;245886;17;1;55,8;42,9;2,64;0;8,91;41,3;82,993;5,86878333333333;153,571428571429;0;5;50;0;0;485983;2872725;4332945;2127;3775;"Official HIGE DANdism";"相思相愛";"2018-04-11";"Pop";"Independent";0;"excellent"
"GBDVX0600080";2069;283979;5;2;45,1;93,9;5,12;0,000485;7,74;44,8;93,416;3,40333333333333;741,857142857143;0;6080;66;44816090;173;84887;2212431;12318673;376264;1235159;"Kaiser Chiefs";"Ruby";"1994-03-25";"Rock";"Universal Music";0;"excellent"
"DEA621700014";105353;443778;13;1;59;77,5;43,5;0;25,4;55,1;114,762;3,18386666666667;214,285714285714;0;58;24;0;0;769811;656664;1961938;190640;0;"Majoe";"Aus Hatern werden Fans";"2017-01-27";"HipHop/Rap";"Warner Music";0;"good"
"JPWP01671952";44351;2630;2;1;70,7;95,5;6,89;5,87;6,75;69,1;134,989;3,20415;214,571428571429;0;0;14;0;0;168231;107211;445205;1277;0;"WEDNESDAY CAMPANELLA";"オニャンコポン";"2017-02-08";"Pop";"Warner Music";0;"good"
"SEWHM2000103";178885;26605;1;1;78,1;62,5;4,78;0;11,5;78,3;101,968;2,82373333333333;47,2857142857143;0;17;31;0;0;248211;301508;5248162;400;0;"Peg Parnevik";"Not Gonna Be There";"2020-04-24";"Pop";"Sony Music";0;"excellent"
"ITIWE2000378";217358;4447953;74;1;64,5;71,9;2,26;0,09;18,8;57,4;100,004;3,24131666666667;18,7142857142857;0;40;59;0;346;565888;1947545;4935188;13183;5073;"Gazzelle";"Lacri-ma";"2020-11-09";"Pop";"Independent";0;"good"
"FIPEB2000029";750013;19081;2;1;40,6;68,6;29;0,000525;23,4;8,64;69,073;4,19208333333333;44,2857142857143;0;5;30;0;0;0;107460;60193;137;0;"Lauri Haav feat. Justsesomali feat. Gettomasa";"Patsas";"2020-05-14";"Pop";"Independent";0;"excellent"
"USUM71704499";4934;26887;2;2;73,7;66,5;4,87;0;8,92;71,8;122,061;3,23866666666667;200,285714285714;0;961;45;0;31600;59448876;42568761;257192162;5613129;416776;"Shawn Mendes feat. NOTD";"There's Nothing Holdin' Me Back - NOTD Remix";"2017-05-10";"Pop";"Universal Music";0;"excellent"
"SEUM71901416";1092771;1363767;41;1;52;48,7;2,91;0;22,1;26,6;144,992;2,88088333333333;67,7142857142857;0;56;50;0;2900;59520;1190095;4383916;62;7904;"Tusse";"Rain";"2019-12-03";"Pop";"Universal Music";0;"excellent"
"DEQ022008533";182477;1484584;7;3;58,2;69,3;15;0,1;10,4;39,5;88,475;2,783;10,2857142857143;0;48;61;0;936;900638;1714665;9349575;243678;0;"Zuna";"Du hast recht";"2021-01-08";"HipHop/Rap";"Independent";0;"good"
"ITIWE1900120";1016198;2752406;49;1;79,3;71,6;11;0;8,26;56,1;103,995;3,38461666666667;66,2857142857143;0;44;50;9450063;86500;0;1338158;4410835;9221;0;"Alfa feat. Yanomi";"Wanderlust!";"2019-10-10";"Pop";"Independent";0;"excellent"
"BRSME1701737";208860;71243;1;1;65,7;54,1;3,51;0;8,54;30,1;137,903;3,33343333333333;123,428571428571;0;59;45;26326569;7226;5998350;1469344;5959356;626355;0;"Priscilla Alcantara";"Liberdade";"2017-09-22";"R&B";"Sony Music";0;"fair"
"USQX91803217";4796;12354891;32;29;53,7;83,7;3,9;0;34,8;53,3;90,083;3,43533333333333;122,285714285714;0;804;60;56316041;4154;7131537;29939004;159361242;5113432;221404;"The Chainsmokers";"Beach House";"2018-11-16";"Electro/Dance";"Sony Music";1;"excellent"
"JPWP01770243";211306;22197655;956;1;67,3;85;3,37;0;9,43;79,3;100,008;3,92068333333333;183,714285714286;0;60;59;0;0;1326631;2372963;4159171;2396;78892;"Aimyon";"愛を伝えたいだとか";"2017-04-12";"Pop";"Warner Music";1;"excellent"
"FR7IX1800130";387692;16863057;258;2;79,6;49,6;3,88;0,000551;7,81;71,6;97,988;3,13073333333333;158,285714285714;0;551;78;264774145;3500000;1055504;2828882;5137958;457230;2623847;"Marwa Loud";"Bad Boy";"2018-02-17";"HipHop/Rap";"Warner Music";1;"fair"
"USUM71800181";473044;35415;1;2;86,8;55,4;17,4;0;11,7;89,7;118,05;3,52445;162,285714285714;0;133;50;53959;0;2057436;18498760;145020984;169500;14653;"Julia Michaels";"Are You";"2018-02-08";"Soundtrack";"Universal Music";0;"good"
"HKD251800094";213950;520070;137;1;57,3;42,2;3,04;0;12,4;23,4;128,137;4,07385;118,714285714286;0;26;41;0;0;139347;266405;630464;624;4551;"Leo Ku";"亂世情侶";"2018-12-13";"Pop";"Independent";0;"excellent"
"SKA012100028";550588;165333;20;1;63,5;67,1;21,2;0;51,6;42,9;106,982;3,38333333333333;2,85714285714286;1;32;54;0;0;361150;155529;116318;4068;0;"Gleb";"alibababigbass";"2021-03-01";"HipHop/Rap";"Universal Music";0;"poor"
"USSD11700143";308;220418;2;5;75;76;19,8;0;5,48;89,3;183,817;3,25355;199,285714285714;0;2690;0;831591415;72300;70353798;37980220;259120938;9328717;2829871;"Shakira feat. Nicky Jam";"Perro Fiel";"2017-05-26";"Pop";"Sony Music";0;"fair"
"HKI492040201";22415;30024;8;1;42,2;73,6;5,27;0;11,3;41,1;156,994;4,24046666666667;18,5714285714286;0;22;40;0;0;334647;153236;414602;20;1516;"Alfred Hui";"無力感";"2020-04-17";"Pop";"Warner Music";0;"excellent"
"USUM71904592";476687;1019041;8;2;82,5;68,2;21,4;0;12,2;50;146,129;2,84925;104,285714285714;0;273;47;0;0;2112972;9148657;142618212;116371;0;"NAV feat. Gunna";"Hold Your Breath (feat. Gunna)";"2019-03-22";"HipHop/Rap";"Universal Music";0;"excellent"
"NLG661800414";782690;1317527;28;1;79;59;4,98;4,35;7,46;36,5;96,014;2,9592;153,285714285714;0;48;31;4369758;0;1002963;330906;823222;5003;0;"Famke Louise";"HIGH";"2018-04-12";"HipHop/Rap";"Universal Music";0;"excellent"
"TWA770300175";215400;5427;2;1;58,3;59,9;2,64;0;10,2;40,7;139,977;3,75311666666667;902;0;15;44;0;0;0;324262;542853;16;13894;"Wu Bai";"淚橋";"2014-08-22";"Pop";"Independent";0;"excellent"
"DKUM71700473";91030;853515;66;1;77,8;75,9;5,84;0,000668;10,3;68,2;108,07;3,48195;175,285714285714;0;60;37;0;0;10513;460837;2219285;498;13243;"NOAH";"Ved Det Godt";"2017-11-10";"Pop";"Universal Music";0;"good"
"FR8FB1801401";4115;355489;10;1;76,4;63,6;15,4;0;10,8;43,5;129,901;3,58621666666667;156,285714285714;0;32;23;0;0;2673126;5592730;13598149;3851759;22924;"Maître Gims feat. Bedjik";"Tu m'as dit";"2018-03-22";"HipHop/Rap";"Sony Music";0;"excellent"
"USDHM1622711";210743;16409674;758;1;57,7;93,1;10,2;0;6,91;76,2;179,939;3,81445;242,571428571429;0;129;54;159862;0;177245;708240;2118184;3849;44972;"Moral Distraida";"Hacerlo de Día";"2016-09-04";"Pop";"Independent";1;"good"
"FR9W11814889";323322;1931809;21;3;79,5;64,8;17;0;10;25;140,027;3,52178333333333;132,428571428571;0;89;55;0;335;284623;616381;357807;235432;185209;"Columbine feat. Lujipeka feat. Foda C";"Adieu bientôt";"2018-09-07";"HipHop/Rap";"Universal Music";0;"excellent"
"FR9W11909850";3985;2097020;32;3;77,4;43,1;39,5;0;11,6;18,9;133,132;3,40578333333333;91,2857142857143;0;28;59;0;302;2494;2358728;3823416;1847355;20529;"Nekfeu";"Energie sombre";"2019-06-21";"HipHop/Rap";"Universal Music";0;"poor"
